Rank,City,Population,County
335,Mount Gilead,3678,NaaC
336,Wintersville,3669,NaaC
337,Northfield,3663,NaaC
338,Richfield,3644,NaaC
339,Oakwood village,3624,NaaC
340,Minerva,3620,NaaC
341,Golf Manor,3575,NaaC
342,Greenhills,3567,NaaC
343,Gallipolis,3556,NaaC
344,Carey,3554,NaaC
345,Shadyside,3547,NaaC
346,North Baltimore,3545,NaaC
347,Amberley,3543,NaaC
348,Calcutta,3538,NaaC
349 TIE,Ross and Brimfield,3526,NaaC
350,Mariemont,3518,NaaC
351,Mineral Ridge,3477,NaaC
352,Sherwood,3448,NaaC
353,Mount Orab,3444,NaaC
354 TIE,Dillonvale CDP and Lockland,3441,NaaC
355,Hicksville,3434,NaaC
356,Paulding,3423,NaaC
357,Lake Lakengren,3415,NaaC
358,Woodlawn,3402,NaaC
359,Four Bridges,3387,NaaC
360,Cleves,3375,NaaC
361,Lincoln Heights,3349,NaaC
362,Mayfield,3337,NaaC
363,Taylor Creek,3336,NaaC
364,Wellsville,3306,NaaC
365,Moreland Hills,3303,NaaC
366,Richville,3298,NaaC
367,Beechwood Trails,3297,NaaC
368,Orange,3290,NaaC
369 TIE,Delshire and Salem Heights,3277,NaaC
370,Lordstown,3258,NaaC
371,Uniontown,3250,NaaC
372,Greentown,3240,NaaC
373,Mingo Junction,3205,NaaC
374,Millersburg,3200,NaaC
375,Waynesville,3181,NaaC
376,Madison,3166,NaaC
377 TIE,Cadiz and West Union,3161,NaaC
378,Walbridge,3153,NaaC
379,Delta,3100,NaaC
380,Hartville,3079,NaaC
381,Lakemore,3072,NaaC
382 TIE,Doylestown and Fairport Harbor,3067,NaaC
383,McDonald,3040,NaaC
384,Carrollton,3026,NaaC
385,Baltimore,3004,NaaC
386,The Plains,3001,NaaC
387,Jefferson,2990,NaaC
388,New Bremen,2963,NaaC
389,Day Heights,2910,NaaC
390,Lodi,2899,NaaC
391,Buckeye Lake,2871,NaaC
392,Bainbridge CDP,2870,NaaC
393,Minster,2817,NaaC
394,Bethel,2811,NaaC
395,Sixteen Mile Stand,2804,NaaC
396,Mount Healthy Heights,2796,NaaC
397,West Portsmouth,2795,NaaC
398,North Kingsville,2792,NaaC
399,Ballville,2737,NaaC
400,Evendale,2727,NaaC
401,Covington,2708,NaaC
402,Oak Harbor,2707,NaaC
403,Middlefield,2700,NaaC
404,New Richmond,2698,NaaC
405,Strasburg,2688,NaaC
406,Newtown,2669,NaaC
407,Burlington,2643,NaaC
408,Lisbon,2640,NaaC
409,Dry Ridge,2630,NaaC
410,Loudonville,2617,NaaC
411,Devola,2599,NaaC
412,Dennison,2594,NaaC
413 TIE,Sabina and Wright-Patterson AFB,2579,NaaC
414,Williamsburg,2569,NaaC
415,Versailles,2560,NaaC
416,St. Henry,2555,NaaC
417,Fredericktown,2525,NaaC
418,Skyline Acres,2522,NaaC
419,Gibsonburg,2496,NaaC
420,Silver Lake,2494,NaaC
421,Gambier,2486,NaaC
422,Crooksville,2482,NaaC
423,Richwood,2480,NaaC
424,LaGrange,2479,NaaC
425,Hebron,2477,NaaC
426,Seville,2425,NaaC
427,Middleport,2408,NaaC
428,North Zanesville,2390,NaaC
429,Enon,2386,NaaC
430,New Miami,2381,NaaC
431,Poland,2378,NaaC
432,Green Meadows,2366,NaaC
433,New London,2358,NaaC
434,Byesville,2352,NaaC
435,Churchill,2328,NaaC
436,Garrettsville,2315,NaaC
437,West Lafayette,2307,NaaC
438,Terrace Park,2295,NaaC
439,Wilberforce,2291,NaaC
440 TIE,Chesterland and Genoa,2277,NaaC
441,Walton Hills,2269,NaaC
442,Utica,2260,NaaC
443,Shawnee Hills CDP,2254,NaaC
444,Bolindale,2246,NaaC
445,Sugarcreek,2234,NaaC
446,Centerburg,2226,NaaC
447,New Concord,2219,NaaC
448 TIE,Woodsfield and Gates Mills,2217,NaaC
449,Hunter,2210,NaaC
450,Elmwood Place,2207,NaaC
451,Windham,2202,NaaC
452,Glendale,2181,NaaC
453,Creston,2170,NaaC
454,Spencerville,2161,NaaC
455,Brewster,2153,NaaC
456,Piketon,2140,NaaC
457,Jamestown,2136,NaaC
458,New Boston,2099,NaaC
459,South Zanesville,2095,NaaC
460,Columbus Grove,2079,NaaC
461,Coal Grove,2074,NaaC
462,Cardington,2071,NaaC
463,Newburgh Heights,2049,NaaC
464,West Hill,2045,NaaC
465,Leipsic,2022,NaaC
466,Woodville,2016,NaaC
467,St. Paris,2010,NaaC
468,Arcanum,2008,NaaC
469,Edgerton,1999,NaaC
470,Valley View,1997,NaaC
471,Rosemount,1993,NaaC
472,Drexel,1991,NaaC
473,Batavia,1983,NaaC
474,South Bloomfield,1979,NaaC
475,Camden,1973,NaaC
476,Manchester,1955,NaaC
477,Bellville,1931,NaaC
478,Glenmoor,1918,NaaC
479,Masury,1893,NaaC
480 TIE,Loveland Park and Dalton,1888,NaaC
481,Bradford,1866,NaaC
482,Roseville,1839,NaaC
483,Leetonia,1832,NaaC
484,Navarre,1812,NaaC
485,Elida,1803,NaaC
486,Plymouth,1801,NaaC
487,West Liberty,1799,NaaC
488,Lithopolis,1796,NaaC
489,Mount Sterling,1793,NaaC
490,Cridersville,1792,NaaC
491,Glouster,1780,NaaC
492,Lake Mohawk,1771,NaaC
493,Pomeroy,1757,NaaC
494,McConnelsville,1749,NaaC
495,Lewisburg,1746,NaaC
496,Rossmoyne,1744,NaaC
497,New California,1738,NaaC
498,Bridgeport,1728,NaaC
499,Five Points,1723,NaaC
500,Deshler,1721,NaaC
501,Peebles,1717,NaaC
502,Caldwell,1712,NaaC
503,Fairfax,1701,NaaC
504,Ripley,1697,NaaC
505,Dresden,1691,NaaC
506,Antwerp,1683,NaaC
507,Pleasant Grove,1682,NaaC
508,Commercial Point,1679,NaaC
509,South Amherst,1675,NaaC
510,West Unity,1672,NaaC
511,Holland,1655,NaaC
512,Weston,1647,NaaC
513,McArthur,1643,NaaC
514,McComb,1638,NaaC
515,Perry,1626,NaaC
516,South Charleston,1619,NaaC
517,Ashley,1608,NaaC
518,Aberdeen,1604,NaaC
519,Brilliant,1596,NaaC
520,Orwell,1594,NaaC
521,Mechanicsburg,1591,NaaC
522,Union City,1588,NaaC
523,Kalida,1587,NaaC
524,Franklin Furnace,1582,NaaC
525,East Canton,1576,NaaC
526,New Paris,1572,NaaC
527,Kings Mills,1564,NaaC
528,Miamitown,1560,NaaC
529,New Middletown,1550,NaaC
530,Choctaw Lake,1547,NaaC
531,Brookfield Center,1541,NaaC
532,Fort Loramie,1523,NaaC
533,Oak Hill,1522,NaaC
534 TIE,"Powhatan Point, Anna, and Shreve",1520,NaaC
535,Leavittsburg,1516,NaaC
536,West Salem,1511,NaaC
537,Dunlap,1498,NaaC
538,Brooklyn Heights,1497,NaaC
539,Harbor Hills,1485,NaaC
540,Lucasville,1484,NaaC
541,Lynchburg,1483,NaaC
542,Crystal Lakes,1467,NaaC
543 TIE,North Lewisburg and Jackson Center,1465,NaaC
544,Fort Recovery,1458,NaaC
545,Somerset,1455,NaaC
546 TIE,Bremen and Roaming Shores,1452,NaaC
547,Burton,1451,NaaC
548,Arlington,1442,NaaC
549,Forest,1431,NaaC
550,Curtice,1428,NaaC
551,Greenwich,1422,NaaC
552,Pemberville,1420,NaaC
553,Pioneer,1399,NaaC
554,Elmore,1396,NaaC
555 TIE,Russells Point and Holiday Valley,1390,NaaC
556,Monroeville,1350,NaaC
557,Highpoint,1338,NaaC
558,Pheasant Run,1337,NaaC
559,Milan,1334,NaaC
560,Beverly,1332,NaaC
561,Sawyerwood,1331,NaaC
562 TIE,West Alexandria and Morrow,1325,NaaC
563,Granville South,1324,NaaC
