Rank,Zip Code,Population
529,45614,"4,825"
530,43777,"4,823"
531,45869,"4,811"
532,44504,"4,799"
533,45612,"4,793"
534,44430,"4,777"
535,45065,"4,765"
536,45697,"4,759"
537,44672,"4,748"
538,43440,"4,738"
539,43783,"4,731"
540,44243,"4,721"
541,45135,"4,705"
542 TIE,45644 and 44851,"4,679"
543,44280,"4,641"
544,43845,"4,607"
545,16159,"4,572"
546,43318,"4,537"
547,43222,"4,529"
548,44065,"4,522"
549,44431,"4,514"
550,45169,"4,513"
551,43331,"4,507"
552,43430,"4,504"
553 TIE,43102 and 43022,"4,500"
554,45347,"4,479"
555,44621,"4,476"
556,44680,"4,455"
557,45732,"4,438"
558,44072,"4,420"
559,44837,"4,408"
560,44437,"4,406"
561,44676,"4,402"
562,45144,"4,400"
563,43821,"4,389"
564,44127,"4,375"
565,43412,"4,373"
566,43610,"4,343"
567,45252,"4,336"
568,44438,"4,300"
569,45887,"4,298"
570,45846,"4,297"
571,43240,"4,295"
572,43061,"4,278"
573,44003,"4,228"
574,44234,"4,177"
575,45302,"4,172"
576,45308,"4,139"
577,43517,"4,134"
578,45652,"4,120"
579,45843,"4,117"
580,43824,"4,116"
581,45872,"4,106"
582,45315,"4,066"
583,45130,"4,028"
584,44217,"3,997"
585,43532,"3,972"
586,44470,"3,953"
587,44824,"3,944"
588,44442,"3,938"
589,44609,"3,935"
590,43357,"3,921"
591,45218,"3,915"
592,43135,"3,914"
593,44403,"3,904"
594,45883,"3,877"
595,45341,"3,857"
596,45760,"3,823"
597,43046,"3,812"
598,43804,"3,786"
599,45653,"3,782"
600,45159,"3,773"
601,43154,"3,770"
602,44084,"3,749"
603,43002,"3,744"
604,44864,"3,718"
605,45167,"3,700"
606,45686,"3,699"
607,45142,"3,696"
608,44436,"3,695"
609,43542,"3,687"
610,43773,"3,668"
611,45052,"3,667"
612,43447,"3,645"
613,43450,"3,636"
614,45786,"3,617"
615,45813,"3,616"
616,45113,"3,610"
617,44473,"3,609"
618,44445,"3,604"
619,44643,"3,585"
620,45118,"3,579"
621,44288,"3,521"
622,43844,"3,519"
623,44491,"3,517"
624,43014,"3,507"
625,45369,"3,492"
626,44704,"3,490"
627,44846,"3,486"
628,45723,"3,481"
629,44085,"3,448"
630,44452,"3,444"
631,45771,"3,433"
632,45850,"3,419"
633,45784,"3,402"
634,43107,"3,399"
635,43917,"3,380"
636,44847,"3,344"
637,43557,"3,324"
638,43522,"3,291"
639,45390,"3,288"
640,44637,"3,281"
641,44275,"3,280"
642,45831,"3,269"
643,44402,"3,228"
644 TIE,45814 and 44253,"3,212"
645 TIE,44865 and 43910,"3,208"
646,43570,"3,195"
647,43945,"3,189"
648,45780,"3,176"
649,45844,"3,172"
650,44878,"3,118"
651,43787,"3,111"
652,45623,"3,075"
653,44264,"3,073"
654 TIE,43758 and 45064,"3,060"
655,44428,"3,045"
656,43314,"3,033"
657,43943,"3,029"
658,44626,"3,015"
659,43003,"3,005"
660 TIE,43416 and 45658,"2,989"
661,43324,"2,963"
662,43469,"2,948"
663 TIE,43718 and 45054,"2,926"
664,45832,"2,923"
665 TIE,44040 and 44401,"2,903"
666,43569,"2,896"
667,45858,"2,880"
668,44506,"2,877"
669,44814,"2,876"
670,45882,"2,875"
671,45845,"2,871"
672,43342,"2,861"
673,45629,"2,855"
674,44882,"2,849"
675,44880,"2,844"
676,43310,"2,841"
677,45742,"2,840"
678,44656,"2,836"
679,45679,"2,830"
680,44451,"2,817"
681,44688,"2,816"
682,43001,"2,810"
683,43060,"2,809"
684,43942,"2,767"
685,43748,"2,752"
686,45120,"2,750"
687,44822,"2,749"
688,45744,"2,747"
689 TIE,43521 and 43516,"2,742"
690 TIE,45433 and 45613,"2,734"
691,45303,"2,724"
692,45880,"2,690"
693,43719,"2,689"
694,43155,"2,669"
695,44666,"2,667"
696,45162,"2,666"
697,44629,"2,661"
698,44633,"2,634"
699,44412,"2,630"
700,44901,"2,627"
701,43008,"2,614"
702,44510,"2,601"
703,44840,"2,594"
704,43358,"2,588"
705,45647,"2,579"
706,45659,"2,574"
707 TIE,44086 and 43128,"2,558"
708,44867,"2,557"
709,44429,"2,544"
710,45874,"2,534"
711,44048,"2,529"
712,43518,"2,524"
713,44849,"2,522"
714,45767,"2,489"
715,45370,"2,479"
716,44046,"2,473"
717,44082,"2,464"
718,44677,"2,463"
719,43009,"2,453"
720 TIE,45715 and 43217,"2,440"
721,44608,"2,439"
722,45203,"2,429"
723,44423,"2,423"
724,43149,"2,414"
725,44818,"2,394"
726,43749,"2,376"
727,43554,"2,371"
728,45306,"2,370"
729,45645,"2,357"
730 TIE,45174 and 43148,"2,350"
731,44099,"2,334"
732,43986,"2,332"
733,44836,"2,330"
734,44411,"2,328"
735,44215,"2,323"
736,45860,"2,314"
737,44645,"2,299"
738,43977,"2,289"
739 TIE,43730 and 45101,"2,287"
740,43973,"2,281"
741,43137,"2,276"
742,44214,"2,267"
743,45325,"2,266"
744 TIE,43988 and 45873,"2,263"
745,44634,"2,246"
746,43164,"2,233"
747,43944,"2,221"
748,43145,"2,189"
749,43739,"2,179"
750 TIE,44859 and 43150,"2,158"
751,45877,"2,148"
752,43760,"2,138"
753,43946,"2,136"
754,44843,"2,126"
755,44611,"2,121"
756,44807,"2,120"
757,45334,"2,117"
758,45724,"2,113"
759,43903,"2,108"
760,45684,"2,093"
761,45682,"2,090"
762,43466,"2,059"
763,44620,"2,057"
764,45384,"2,053"
765,45827,"2,050"
766,44450,"2,041"
767,44613,"2,012"
768,45871,"2,008"
769,44866,"1,994"
770 TIE,43071 and 43527,"1,986"
771,43901,"1,984"
772,43755,"1,983"
773,43045,"1,982"
774,45812,"1,973"
775 TIE,45346 and 45359,"1,938"
776,45634,"1,926"
777,45657,"1,925"
778 TIE,43406 and 43443,"1,920"
779 TIE,45337 and 44625,"1,918"
780,44235,"1,916"
781,43771,"1,895"
782,43772,"1,880"
783,43933,"1,875"
784,43716,"1,874"
785,45418,"1,871"
786,45743,"1,864"
787,43340,"1,845"
788,45761,"1,843"
789,45896,"1,839"
790,44675,"1,825"
791,45153,"1,804"
792,44826,"1,803"
793,44276,"1,795"
794,43556,"1,765"
795,44441,"1,757"
796,43534,"1,739"
797,43734,"1,738"
798 TIE,43348 and 44417,"1,736"
799,43332,"1,734"
800,44064,"1,724"
801,44854,"1,708"
802,43533,"1,702"
803,45363,"1,698"
804,43780,"1,697"
805,44443,"1,672"
806,45681,"1,670"
807,45168,"1,667"
808,44455,"1,665"
809,43976,"1,661"
810,43837,"1,658"
811,45889,"1,634"
812,45772,"1,623"
813 TIE,45745 and 43754,"1,618"
814,43728,"1,602"
815,43360,"1,600"
816,43908,"1,599"
817,43913,"1,596"
818,45696,"1,595"
819,43106,"1,589"
820,44695,"1,578"
821,43116,"1,563"
822,45735,"1,562"
823,44010,"1,555"
824,43766,"1,543"
825,43457,"1,536"
826,44418,"1,531"
827,45672,"1,527"
828 TIE,43320 and 45862,"1,524"
829,43413,"1,522"
830,44032,"1,516"
831,44817,"1,506"
832,43347,"1,501"
833,43115,"1,493"
834,45148,"1,467"
835,45616,"1,461"
836 TIE,43067 and 45146,"1,458"
837,44638,"1,453"
838,45768,"1,449"
839,43732,"1,448"
840,44404,"1,446"
841,44427,"1,406"
842,43356,"1,388"
843 TIE,43963 and 45339,"1,385"
844,43464,"1,377"
845,44853,"1,372"
846,45333,"1,368"
847,43540,"1,358"
848,45729,"1,351"
849,44669,"1,347"
850,43435,"1,345"
851,45836,"1,344"
852,44855,"1,337"
853,43720,"1,331"
854,43549,"1,310"
855,43524,"1,302"
856,45788,"1,298"
857,45382,"1,287"
858,45863,"1,279"
859,43432,"1,278"
860,45312,"1,277"
861,45034,"1,273"
862 TIE,44449 and 45853,"1,264"
863,43504,"1,261"
864,43840,"1,253"
865,45881,"1,252"
866,43451,"1,251"
867 TIE,43066 and 43445,"1,239"
868,45711,"1,232"
869,45317,"1,226"
870,43746,"1,215"
871,44093,"1,210"
872,43462,"1,191"
873,45821,"1,186"
874,45654,"1,177"
875,43915,"1,172"
876,43442,"1,170"
877,43727,"1,163"
878,45775,"1,159"
879,43337,"1,149"
880,43778,"1,148"
881,45362,"1,141"
882,44503,"1,130"
883,45685,"1,120"
884,45867,"1,113"
885,44250,"1,110"
886,43971,"1,100"
887,43525,"1,096"
888,45678,"1,086"
889,45849,"1,084"
890,43511,"1,075"
891,45326,"1,066"
892,43843,"1,062"
893,44682,"1,030"
894,45348,"1,026"
895,45719,"1,019"
896,43343,"1,012"
897,43802,"1,008"
898,45766,"1,000"
899,43767,986
900,44454,982
901,44490,970
902,45620,955
903,44802,951
904 TIE,44702 and 43341,948
905,44308,943
906,44804,940
907,44628,932
908,43319,926
909,44251,922
910,43747,879
911,45898,873
912,43501,870
913,45160,865
914,43779,855
915,45388,853
916,45321,851
917,45330,846
918 TIE,44887 and 43932,836
919,43811,835
920,45332,825
921,45778,821
922 TIE,43359 and 45841,818
923,44699,811
924,43013,809
925,43930,795
926,43152,787
927 TIE,45776 and 44689,786
928,43084,766
929,45001,759
930,43788,754
931,45779,753
932,45851,746
933 TIE,43345 and 43153,742
934,43407,729
935,43535,719
936,45876,705
937,43323,699
938,43136,690
939,45340,688
940,45062,686
941 TIE,43782 and 44653,673
942,45741,662
943,45695,657
944,44651,656
945,43006,655
946,45674,651
947,45868,650
948,43157,648
949,45894,635
950,44815,630
951,44841,619
952,44101,610
953,45688,608
954,45770,596
955,43548,587
956,43948,586
957,43437,578
958,45328,564
959,43029,563
960,45003,552
961,43458,521
962,45835,519
963,43333,509
964,45859,508
965 TIE,45886 and 43565,502
966,45646,499
967,43126,498
968,43768,497
969 TIE,45782 and 44844,492
970 TIE,45820 and 45890,488
971,45826,484
972,45389,478
973,44045,477
974,45716,474
975 TIE,45734 and 43934,466
976,45650,460
977,45854,459
978,45354,456
979,43983,454
980,45360,453
981,43939,439
982,43735,438
983,43925,425
984,45746,415
985 TIE,"43144, 43468, and 45727",401
986,45132,398
987,45740,383
988,45349,380
989,45319,378
990,43931,375
991,45158,373
992,45155,371
993,43077,369
