ZipCode,Population,case_count_cumulative,case_count_last_30_days,case_count_last_14_days,case_count_per_100K_cumulative,case_count_per_100K_last_30_days,case_count_per_100K_last_14_days,population_density,num_universities,num_uni_students
43224,44678,1857,466,197,4156.4,1043.0,440.9,4658.1,0,0
43226,None,None,None,None,None,None,None,None,0,0
43227,24296,1021,335,141,4202.3,1378.8,580.3,5844.2,0,0
43228,54362,2546,731,312,4683.4,1344.7,573.9,2612.6,0,0
43229,53693,2784,666,328,5185.0,1240.4,610.9,5392.4,0,0
43230,58167,2103,827,355,3615.5,1421.8,610.3,2551.7,0,0
43231,21828,1143,339,127,5236.4,1553.1,581.8,4487.4,0,0
43232,45352,1843,568,261,4063.8,1252.4,575.5,3346.7,1,169
43234,None,None,None,None,None,None,None,None,0,0
43235,42673,1485,570,261,3480.0,1335.7,611.6,3019.9,1,138
43236,None,None,None,None,None,None,None,None,0,0
43240,4295,197,85,36,4586.7,1979.0,838.2,1490.9,0,0
43251,None,None,None,None,None,None,None,None,0,0
43260,None,None,None,None,None,None,None,None,0,0
43265,None,None,None,None,None,None,None,None,0,0
43266,None,None,None,None,None,None,None,None,0,0
43268,None,None,None,None,None,None,None,None,0,0
43270,None,None,None,None,None,None,None,None,0,0
43271,None,None,None,None,None,None,None,None,0,0
43272,None,None,None,None,None,None,None,None,0,0
43279,None,None,None,None,None,None,None,None,0,0
43287,None,None,None,None,None,None,None,None,0,0
43291,None,None,None,None,None,None,None,None,0,0
43299,None,None,None,None,None,None,None,None,0,0
43301,None,None,None,None,None,None,None,None,0,0
43302,54023,4372,1110,508,8092.8,2054.7,940.3,278.5,1,2468
43306,None,None,None,None,None,None,None,None,0,0
43307,None,None,None,None,None,None,None,None,0,0
43310,2841,84,48,25,2956.7,1689.5,880,51.3,0,0
43311,18946,660,343,108,3483.6,1810.4,570,187.4,0,0
43314,3033,96,50,26,3165.2,1648.5,857.2,57.8,0,0
43315,7272,157,82,34,2159.0,1127.6,467.5,87.4,0,0
43316,5869,171,88,24,2913.6,1499.4,408.9,83.6,0,0
43317,153,6,None,None,3921.6,None,None,739.2,0,0
